bhk,price,total_sqft,location,price_per_sqft
2.0,51.0,1100.0,"Shankar Nagar, Veer Savarkar Nagar, Nashik, Maharashtra",463.6363636363636
2.0,71.0,1135.0,"Pandit Colony, Sharanpur, Nashik, Maharashtra",625.5506607929516
1.0,26.0,700.0,"Modkeshwar Nagar, Cidco, Nashik, Maharashtra",371.42857142857144
2.0,45.0,1100.0,"Nashik, Maharashtra",409.09090909090907
2.0,35.0,1100.0,Mukund Apartment,318.1818181818182
1.0,14.0,639.0,"Mhasrul Gaon, Mhasrul, Nashik, Maharashtra",219.0923317683881
1.0,17.81,545.0,"Ashok Nagar, Satpur, Nashik, Maharashtra",326.7889908256881
1.0,25.0,700.0,"Modkeshwar Nagar, Cidco, Nashik, Maharashtra",357.14285714285717
2.0,30.0,1150.0,"Chetana Nagar, Indira Nagar, Nashik, Maharashtra",260.8695652173913
3.0,52.0,1150.0,"Nashik, Maharashtra",452.17391304347825
2.0,40.0,850.0,"Shree Ram Nagar, Indira Nagar, Nashik, Maharashtra",470.5882352941176
1.0,23.0,662.0,"Samarth Nagar, Makhamalabad, Nashik, Maharashtra",347.4320241691843
3.0,60.0,1314.0,"Nashik Road, Vadner Dumala, Nashik, Maharashtra, 422401",456.62100456621005
2.0,45.0,1100.0,"Nashik, Maharashtra",409.09090909090907
2.0,27.0,855.0,Kishor Nagar,315.7894736842105
1.0,22.0,662.0,"Samarth Nagar, Makhamalabad, Nashik, Maharashtra",332.3262839879154
2.0,30.0,907.0,"Samarth Nagar, Makhamalabad, Nashik, Maharashtra",330.76074972436606
2.0,26.0,850.0,"Vrindavan Nagar, Cidco, Nashik, Maharashtra",305.88235294117646
1.0,28.0,620.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",451.61290322580646
2.0,40.0,1050.0,"Dnyaneshwar Nagar, Pathardi Phata, Nashik, Maharashtra",380.95238095238096
2.0,40.0,1050.0,"Balawant Nagar, Anandvalli, Nashik, Maharashtra",380.95238095238096
1.0,30.0,615.0,"Mahatmanagar, Parijat Nagar, Nashik, Maharashtra",487.8048780487805
2.0,28.1,830.0,"Makhmalabad, Makhamalabad, Nashik, Maharashtra",338.5542168674699
1.0,19.0,641.0,"Jai Bhavani Road, Gandhi Nagar, Nashik, Maharashtra, 422006",296.41185647425897
1.0,18.0,550.0,"Satpur, Nashik, Maharashtra",327.27272727272725
2.0,21.0,650.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",323.0769230769231
2.0,35.0,1031.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",339.47623666343355
2.0,29.49,986.0,"Kathe Mala Colony, Dwarka, Nashik, Maharashtra",299.0872210953347
